Site,Point.ID,Date,Survey.number,Species - Scientific Name,Species - 4-letter Code,Count,Distance,Detected By,,,,,,,,,
Juncos,5373-1,01/20/18,4,Quiscalus niger,GAGR,2,>50,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,4,Zenaida asiatica,WWDO,1,>50,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,4,Tyrannus dominicensis,GRAK,2,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,4,Zenaida aurita,ZEND,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,4,Turdus plumbeus,RLTH,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,4,Coereba flaveola,BANA,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,,Brotogeris versicolurus,WWPA,,Fly-over/Volandos,,,,,,,,,,
Juncos,5373-1,01/20/18,,Ardea alba,GREG,,Fly-over/Volandos,,,,,,,,,,
Juncos,5373-1,01/20/18,,Petrochelidon fulva,CASW,,Fly-over/Volandos,,,,,,,,,,
Juncos,5373-1,01/20/18,,Lonchura punctulata,NUMA,,Fly-over/Volandos,,BRMA,,,,,,,,
Juncos,5373-1,01/20/18,,Passer domesticus,HOSP,,Fly-over/Volandos,,,,,,,,,,
Juncos,5373-1,01/20/18,,Mimus polyglottos,NOMO,,Fly-over/Volandos,,,,,,,,,,
Juncos,5373-2,01/20/18,1,Columbina passerina,COGD,2,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Spindalis portoricensis,PRSP,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Patagioenas squamosa,SNPI,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Tyrannus dominicensis,GRAK,2,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Setophaga americana,NOPA,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Tiaris olivaceus,YFGR,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Tyrannus dominicensis,GRAK,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,1,Coereba flaveola,BANA,1,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,2,Melanerpes portoricensis,PRWO,1,>50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,2,Tyrannus dominicensis,GRAK,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,2,Quiscalus niger,GAGR,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,2,Zenaida asiatica,WWDO,2,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,2,Coereba flaveola,BANA,2,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,2,Coereba flaveola,BANA,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-2,01/20/18,2,Zenaida asiatica,WWDO,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-2,01/20/18,3,Zenaida asiatica,WWDO,2,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,3,Patagioenas squamosa,SNPI,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,3,Zenaida aurita,ZEND,1,26-50,Sound (Canto),,,,,,,,,
